"","Location","year","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty"
"144","Iowa",2019,29.5682,0.1574,0.0741,0.2315,2.6,0.1,0.134,0.117
"145","Kansas",2011,29.8642,0.1425,0.1086,0.2511,6.6,0.113,0.155,0.134
"146","Kansas",2012,30.4719,0.1526,0.1158,0.2684,5.6,0.121,0.143,0.132
"147","Kansas",2013,31.6983,0.148,0.1213,0.2693,5.3,0.112,0.144,0.128
"148","Kansas",2014,29.3456,0.1533,0.125,0.2783,4.5,0.123,0.146,0.134
"149","Kansas",2015,27.3974,0.1466,0.1122,0.2588,4.2,0.116,0.131,0.124
"150","Kansas",2016,25.3833,0.1228,0.1027,0.2255,4,0.116,0.131,0.124
"151","Kansas",2017,23.3778,0.1423,0.0864,0.2287,3.6,0.105,0.133,0.119
"152","Kansas",2018,21.742,0.1443,0.0773,0.2216,3.3,0.104,0.135,0.119
"153","Kansas",2019,18.5329,0.1742,0.0639,0.2381,3.1,0.09,0.133,0.112
"154","Kentucky",2011,82.3472,0.3842,0.2192,0.6034,9.8,0.154,0.201,0.178
"155","Kentucky",2012,84.9248,0.3282,0.1948,0.523,8.1,0.158,0.202,0.18
"156","Kentucky",2013,87.2439,0.3302,0.1943,0.5245,7.9,0.149,0.205,0.177
"157","Kentucky",2014,82.8076,0.3352,0.1737,0.5089,6.4,0.157,0.199,0.179
"158","Kentucky",2015,76.8882,0.3151,0.1387,0.4538,5.2,0.149,0.194,0.172
"159","Kentucky",2016,66.6264,0.2949,0.1288,0.4237,5,0.149,0.194,0.172
"160","Kentucky",2017,65.4873,0.3032,0.0993,0.4025,4.8,0.148,0.194,0.171
"161","Kentucky",2018,61.5305,0.2735,0.0953,0.3688,4.2,0.142,0.183,0.163
"162","Kentucky",2019,50.2241,0.3073,0.1006,0.4079,4.1,0.14,0.169,0.155
"163","Louisiana",2011,88.4519,0.7941,0.135,0.9291,7.5,0.147,0.216,0.183
"164","Louisiana",2012,94.8758,0.6322,0.145,0.7772,6.5,0.148,0.211,0.181
"165","Louisiana",2013,94.01,0.3908,0.1318,0.5226,6.4,0.144,0.213,0.18
"166","Louisiana",2014,87.734,0.3444,0.1162,0.4606,6.3,0.149,0.21,0.18
"167","Louisiana",2015,85.9738,0.3217,0.0864,0.4081,6.3,0.147,0.199,0.174
"168","Louisiana",2016,92.7168,0.3176,0.0818,0.3994,6.1,0.147,0.199,0.174
"169","Louisiana",2017,92.8962,0.2559,0.0746,0.3305,5.1,0.149,0.213,0.183
"170","Louisiana",2018,86.7342,0.254,0.0519,0.3059,4.8,0.142,0.195,0.17
"171","Louisiana",2019,74.956,0.2416,0.0525,0.2941,4.6,0.142,0.198,0.171
"172","Maine",2011,24.7943,0.1184,0.1263,0.2447,7.5,0.121,0.163,0.143
