"","YearStart","LocationAbbr","LocationDesc","DataValue","LowConfidenceLimit","HighConfidenceLimit","LocationID","TOBDataValue","TOBLowConfidenceLimit","TOBHighConfidenceLimit","AlcHeavyDataValue","AlcHeavyLowConfidenceLimit","AlcHeavyHighConfidenceLimit","AlcBingeDataValue","AlcBingeLowConfidenceLimit","AlcBingeHighConfidenceLimit","ObeDataValue","ObeLowConfidenceLimit","ObeHighConfidenceLimit","selfHlthDataValue","selfHlthLowConfidenceLimit","selfHlthHighConfidenceLimit","HlthCareDataValue","HlthCareLowConfidenceLimit","HlthCareHighConfidenceLimit","X.x","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty","X.y","o3_mean","pm2.5_mean","so2_mean","co_mean","no2_mean","State.Name"
"28",2011,"NC","North Carolina",11.7,9.6,14.2,37,"20.5",17.9,23.3,"5.8",4.3,7.7,"15.1",12.7,17.8,"55.6",52,59.1,86.9,84.5,89,74.2,71.2,77.1,298,159.0069,0.8303,0.4593,1.2896,10,0.144,0.183,0.165,34,0.0352130607319184,9.81938785314545,0.775743443830753,0.351291765629235,9.10384196477483,"North Carolina"
"29",2011,"ND","North Dakota",10.6,8.1,13.9,38,"24.5",20.9,28.6,"6.6",4.6,9.4,"24.6",20.9,28.8,"45.9",41.4,50.5,90,86.9,92.4,83.9,80,87.1,307,6.0902,0.0396,0.0207,0.0603,3.4,0.101,0.129,0.115,35,0.0316261803548178,7.27767804401296,0.641797361924513,0.165214311594203,2.4766632193408,"North Dakota"
"30",2011,"NE","Nebraska",9.4,8.2,10.7,31,"22.4",20.7,24.1,"7.1",6,8.4,"24.7",22.9,26.7,"50.1",47.9,52.3,90.5,89.3,91.6,80.6,78.8,82.2,244,17.4204,0.221,0.1338,0.3548,4.2,0.093,0.131,0.112,28,0.0333059822460017,9.18620107820288,1.5551238817734,0.330247298308239,NA,"Nebraska"
"31",2011,"NH","New Hampshire",15.4,12.5,18.8,33,"24.2",20.9,27.9,"7.8",5.7,10.6,"20.3",16.8,24.3,"47.3",42.9,51.7,90.6,88,92.6,81.5,77.6,84.8,262,11.3407,0.082,0.0649,0.1469,5.2,0.076,0.095,0.085,30,0.0305586547306193,7.75316634515719,2.22976710660126,0.327758036534242,2.14511744545455,"New Hampshire"
"32",2011,"NJ","New Jersey",11.3,9.6,13.3,34,"15.0",13.2,17.1,"7.1",5.7,8.8,"19.4",17.1,21.9,"44.9",42,47.8,89.2,87.5,90.7,82.5,80.2,84.5,271,75.9136,0.6841,0.7296,1.4137,9.3,0.078,0.107,0.093,31,0.0301296995351264,9.36464748684831,1.31066900769293,0.338082221552967,12.8185995741851,"New Jersey"
"33",2011,"NM","New Mexico",13.2,11.2,15.4,35,"20.5",18.2,23.1,"5.9",4.5,7.6,"15.8",13.6,18.4,"53.6",50.3,56.9,86.6,84.3,88.6,72.5,69.6,75.3,280,41.4275,0.2246,0.1355,0.3601,7.2,0.187,0.205,0.196,32,0.0359950637272503,6.11591865977548,0.662236328079865,0.402409130892449,7.63210842472531,"New Mexico"
"34",2011,"NY","New York",12.8,10.5,15.5,36,"19.1",16.5,22.1,"6.5",5,8.5,"22.0",19,25.2,"45.9",42.3,49.6,90.3,88.1,92.2,85.7,83.2,87.9,289,299.9991,2.7338,3.6107,6.3445,8,0.124,0.162,0.144,33,0.030087428474298,8.34690886724754,1.1717238291045,0.282384927294456,6.36610162985246,"New York"
"35",2011,"NV","Nevada",11.5,8.9,14.6,32,"20.9",17.3,25.1,"5.7",3.7,8.7,"18.3",14.7,22.5,"48.0",42.9,53.2,83.8,79.6,87.3,66.5,61.3,71.4,253,33.2959,0.7973,0.1177,0.915,13.1,0.137,0.162,0.15,29,0.0378255573678328,6.63296475412775,0.894851037885353,0.406016101322021,11.3986492289664,"Nevada"
"36",2011,"OH","Ohio",13.9,11.7,16.4,39,"30.5",27.4,33.8,"6.7",5.2,8.6,"22.9",20.1,26,"51.1",47.5,54.6,88.7,86.3,90.7,84.5,81.7,87,316,177.9237,0.7812,0.5218,1.303,8.9,0.133,0.171,0.153,36,0.0331853962068073,11.7369147965014,2.7023380457213,0.31507330182848,10.2113352507197,"Ohio"
"37",2011,"OK","Oklahoma",12.1,10.1,14.5,40,"29.4",26.4,32.5,"5.8",4.4,7.5,"15.2",12.9,17.9,"57.6",54.1,61.1,86.6,84.2,88.7,71.3,68.1,74.3,325,61.4704,0.3236,0.1389,0.4625,5.9,0.147,0.183,0.166,37,0.0380362259269384,10.6991542838683,2.38572852821556,0.227191608887221,7.72311928154914,"Oklahoma"
